State,Title,Description,Type
ND,Plug-In Electric Vehicle (PEV) Charging Signage and Parking Space Regulation,"A parking space designated for PEVs must be indicated by signage approved by the North Dakota Department of Transportation that indicates that it is only for PEV charging. The signage must be consistent with the U.S. Department of Transportation Federal Highway Administration's Manual on Uniform Traffic Control Devices.</p>An individual is not allowed to stop, stand, or park a motor vehicle within any parking space specifically designated for parking and charging PEVs unless the motor vehicle is connected to the charger. A fee of $50 applies for non-PEVs that park in spaces designated for PEVs.</p>(Reference <a href=""http://www.legis.nd.gov/general-information/north-dakota-century-code"">North Dakota Century Code</a> 39-06.1-06 and 39-10-50.1)",Laws and Regulations
PA,Plug-In Electric Vehicle (PEV) Credit – Duquesne Light Company (DLC),"DLC offers a one-time bill credit of $60 to residential customers who purchase or lease a PEV. For more information, including how to apply, see the DLC <a href=""https://www.duquesnelight.com/energy-money-savings/electric-vehicles"">Electric Vehicles</a> website.",Utility/Private Incentives
OH,Electric Drive Vehicle Registration Fee,"Effective January 1, 2020, electric drive vehicles owners must pay an annual fee in addition to other registration fees. The fee is $200 for all-electric and plug-in hybrid electric vehicles and $100 for hybrid electric vehicles. Fees contribute to the Highway Operating Fund. (Reference <a href=""https://www.legislature.ohio.gov/"">House Bill</a> 62, 2019, and <a href=""http://codes.ohio.gov/"">Ohio Revised Code</a> 4501.01 and 4503.10)
",Laws and Regulations
AL,Plug-In Electric Vehicle (PEV) Fee,"Effective January 1, 2020, PEV owners must pay an annual fee in addition to standard registration fees. All-electric vehicle owners must pay an annual fee of $200 and plug-in hybrid electric vehicle owners must pay an annual fee of $100. Beginning July 1, 2023 and every fourth year thereafter, PEV fees will increase by $3.  A portion of fees contribute to the Electric Transportation Infrastructure Grant Program, which provides grants for electric vehicle supply equipment. (Reference <a href=""http://alisondb.legislature.state.al.us/acas/ACASLogin.asp"">Code of Alabama</a> 40-12-242)",Laws and Regulations
PA,Electric Vehicle Supply Equipment (EVSE) Lease Pilot Program - FirstEnergy,"FirstEnergy residential customers can lease a Level 2 EVSE for a monthly rate for three years. Included in the lease is the installation of the EVSE and a repair or replacement guarantee for the life of the agreement. For more information, including terms and conditions, see the FirstEnergy Electric Vehicle Charger Lease website.",Utility/Private Incentives
IA,Plug-In Electric Vehicle (PEV) Fee,"PEV owners must pay an annual fee in addition to standard registration fees. All-electric vehicle (EV) owners must pay an annual fee of $65 and plug-in hybrid electric vehicle (PHEV) owners must pay an annual fee of $32.50. Fees will increase through 2022 as follows:</p><p><center><table class=""table table-bordered""><tr><th> </th> <th>EV</th> <th>PHEV</th> </tr> <tr> <td>January 1, 2020</td> <td>$65</td> <td>$32.50</td> </tr> <tr> <td>January 1, 2021</td> <td>$97.50</td> <td>$48.75</td> </tr> <tr> <td>January 1, 2022</td> <td>$130</td> <td>$65</td> </tr> </table></center></p><p> (Reference <a href=""http://www.legis.iowa.gov/"">Iowa Code</a> 321.116)",Laws and Regulations
NV,"Idle Reduction Technology, Natural Gas Vehicle, and Plug-in Electric Vehicle Weight Exemption","Effective October 1, 2019, any motor vehicle equipped with an auxiliary power unit or other qualified idle reduction technology may exceed the maximum gross vehicle weight limit by up to 550 pounds (lbs.) to compensate for the additional weight of the idle reduction technology. Natural gas vehicles and plug-in electric vehicles may exceed the maximum gross vehicle weight limit for comparable conventional fuel vehicles by up to 2,000 lbs. (Reference <a href=""https://www.leg.state.nv.us/"">Assembly Bill</a> 377, 2019)",State Incentives
NY,Smart Charging and Time-of-Use Incentives – Con Edison,"Eligible plug-in electric vehicle customers can receive up to $500 in incentives annually by installing a connected car device provided by Con Edison that tracks driving and charging habits, and by charging during off-peak hours. For more information, including how to apply, see the <a href=""https://www.fleetcarma.com/smartchargenewyork/setup/"">SmartCharge New York</a> website. ",Utility/Private Incentives
WA,Alternative Fuel Vehicle (AFV) Car Share Pilot Program,"The Washington State Department of Transportation (WSDOT) will develop a pilot program to provide AFV use opportunities to underserved and low-income communities and to those without easy access to transportation corridors. (Reference <a href=""http://apps.leg.wa.gov/rcw/"">Revised Code of Washington</a> 47.04.355)",Laws and Regulations
WA,Retail Sales and Use Tax Exemption,"The retail sales and state use tax of 6.5% does not apply to the sale or lease of new or used passenger vehicles, light-duty trucks, and medium-duty passenger vehicles that are exclusively powered by an alternative vehicle fuel or are capable of running solely on electricity for at least 30 miles. Eligible alternative fuels are natural gas, propane, hydrogen, and electricity. Vehicles must not have a selling price plus trade-in property value that exceeds $45,000 for new vehicles and $30,000 for used vehicles. The maximum eligible amount for used purchased or leased vehicles is $16,000. The maximum eligible amounts for new purchased or leased vehicles are as follows:</p><div><table class=""table table-bordered""><tr><th>Year</th><th>Maximum Amount</th></tr><tr><td>Through July 31, 2021</td><td>$25,000</td></tr><tr><td>August 1, 2021 - July 31 2023<td>$20,000</td></tr><tr><td>August 1, 2023 - July 31 2025</td><td>$15,000</td></tr></table></div></p><p>For more information, see the Renewable Energy/Green Incentives section of Washington Department of Revenue's
 <a href=""https://dor.wa.gov/find-taxes-rates/tax-incentives/incentive-programs"">Incentives Programs</a> website.</p><p>(Reference <a href=""http://apps.leg.wa.gov/rcw/"">Revised Code of Washington</a> 82.12.9999)",State Incentives
HI,Alternative Fuel Vehicle (AFV) Registration,"Owners of plug-in electric vehicles and AFVs must pay an annual fee of $50, in addition to standard registration fees. Fees contribute to the State Highway Fund. (Reference <a href=""https://www.capitol.hawaii.gov/"">Hawaii Revised Statutes</a> 249-31)",Laws and Regulations
VT,Plug-In Electric Vehicle (PEV) Incentive,"The Vermont Agency of Transportation provides financial incentives to low- and moderate-income residents for the purchase or lease of a new PEV on a first-come, first-served basis. Incentives are available according to the following schedule:</p><p><div align=""left""><table class=""table table-bordered""><tr><th align=""center"">Vehicle Type</th><th align=""center"">Incentive for $96,122 Household Income or Less</th><th align=""center"">Incentive for Lower Income Households </th></tr><tr><td>Plug-in Hybrid Electric Vehicle</td><td align=""center"">$1,500</td><td align=""center"">$4,000</td></tr><tr><td>All-Electric Vehicle</td><td align=""center"">$2,500</td><td align=""center"">$5,000</td></tr></table></div></p><p>Lower-income households are defined as those eligible for weatherization services through the U.S. Department of Energy. For more information, including application and eligibility requirements, visit the <a href=""https://www.driveelectricvt.com/"">Drive Electric Vermont</a> website.</p><p>(Reference <a href=""https://legislature.vermont.gov/"">House Bill</a> 529, 2019)",State Incentives
VT,Fuel-Efficient Vehicle and Emission Reduction Incentives,"The Vermont Agency of Transportation (VTrans) administers the High Fuel Efficiency Used-Vehicle Program, MileageSmart, which provides incentives of up to $5,000 to replace eligible vehicles with a used vehicle that has a U.S. Environmental Protection Agency (EPA) combined city/highway fuel economy of at least 40 miles per gallon (mpg).<p>

VTrans also offers vouchers of up to $2,500 for the repair of vehicles that failed the on-board diagnostic (OBD) systems inspection. Eligible vehicles for replacement include those that have failed the OBD systems inspection or those that are more than 15 years old and have an EPA combined city/highway fuel economy of less than 25 mpg. Eligible vehicles for a repair voucher are those that have failed the OBD systems inspection, require repairs that are not under warranty, and will be able to pass the inspection once the repairs are made. The emissions repair program must be operational by July 1, 2021.</p><p>

</p><p>(Reference <a href=""https://legislature.vermont.gov/"">House Bill</a> 529, 2019 and <a href=""https://legislature.vermont.gov/"">House Bill</a> 529, 2020)",State Incentives
MD,Electric Vehicle Supply Equipment (EVSE) Rebate - BGE,"Baltimore Gas and Electric (BGE) provides rebates to residential and multifamily customers toward the purchase of qualified Level 2 and direct current (DC) fast charging EVSE. BGE offers residential customers a $300 rebate for an eligible Level 2 EVSE. BGE offers customers that own or operate multifamily properties a rebate of 50% of the purchase and installation cost of an eligible Level 2 EVSE, up to $5,000 per port, and 50% of the purchase and installation cost of eligible DC fast charging EVSE, up to $15,000 per port. Multifamily rebate awards may not exceed $25,000 per site. Only chargers purchased and installed after July 1, 2019, are eligible. Additional terms and conditions apply. For more information, including how to apply, see the BGE <a href=""https://www.bge.com/SmartEnergy/InnovationTechnology/Pages/ElectricVehicles.aspx"">EVsmart</a> website.",Utility/Private Incentives
MD,Electric Vehicle Supply Equipment (EVSE) Rebate - Pepco,"Pepco provides rebates to residential and multifamily customers toward the purchase of qualified Level 2 EVSE. Pepco offers residential customers a $300 rebate for a Level 2 smart EVSE. Only EVSE purchased and installed after July 1, 2019, are eligible. Pepco offers customers that own or operate multifamily properties a 50% discount on the purchase of eligible Level 2 smart EVSE and a rebate up to $7,500 for installation costs. Additional terms and conditions apply. For more information, including how to apply, see the Pepco <a href=""https://www.pepco.com/SmartEnergy/InnovationTechnology/Pages/ElectricVehicleProgramMD.aspx"">EVsmart</a> website.",Utility/Private Incentives
MD,Electric Vehicle Supply Equipment (EVSE) Rebate - Delmarva Power,"Delmarva Power provides rebates to residential and multifamily customers toward the purchase of qualified Level 2 EVSE. Delmarva Power offers residential customers a $300 rebate for a Level 2 smart EVSE. Only EVSE purchased and installed after July 1, 2019, are eligible. Delmarva Power offers customers that own or operate multifamily properties a 50% discount on the purchase of eligible Level 2 smart EVSE and a rebate up to $7,500 for installation costs. Additional terms and conditions apply. For more information, including how to apply, see the Delmarva Power <a href=""https://www.delmarva.com/SmartEnergy/InnovationTechnology/Pages/ElectricVehicleProgramMD.aspx"">EVsmart </a>website.",Utility/Private Incentives
MI,Electric Vehicle Supply Equipment (EVSE) Rebate – DTE Energy,"DTE Energy offers a $500 rebate for the installation of a Level 2 EVSE for qualified residential customers that purchase or lease a plug-in electric vehicle (PEV) and enroll in the <a href=""https://afdc.energy.gov/laws/9216"">PEV Charging Rates</a>. For more information, including eligibility, see the DTE Energy <a href=""https://newlook.dteenergy.com/wps/wcm/connect/dte-web/home/service-request/residential/electric/pev/pev-res-charge-frwd"">Charging Forward</a> website.",Utility/Private Incentives
CO,Plug-In Electric Vehicle (PEV) Parking Regulations ,"Any vehicle that is not actively charging may not park in designated PEV charging parking spaces. A PEV is presumed to not be charging if it is parked at a charging station and is not connected to the charger for longer than 30 minutes. Some exclusions apply, including for PEVs parked at lodging or airports, and between the hours of 11pm and 5am. The penalty for violation is $182. (Reference <a href=""https://leg.colorado.gov/"">House Bill</a> 19-1298, 2019, and <a href=""http://www.lexisnexis.com/hottopics/Colorado/"">Colorado Revised Statutes</a> 42-1-102, 42-4-1213, and 42-4-1701)",Laws and Regulations
FL,All-Electric Vehicle (EV) and Electric Vehicle Supply Equipment (EVSE) Rebates - KUA,"Kissimmee Utility Authority (KUA) provides rebates of $100 to residential customers for the purchase of a new EV and $100 for the purchase and installation of a home EVSE. The EV must be registered to the customer’s address and a proof of purchase is required. The EVSE must be installed by a licensed electrical contractor and must meet all state and local codes. Rebates are limited to one rebate per vehicle and one EVSE rebate per household. For more information, see the KUA <a href=""https://kua.com/energy-conservation-and-renewables/kua-rebates-and-participating-contractors/"">Rebates and Participating Contractors</a> website.",Utility/Private Incentives
IL,All-Electric Vehicle (EV) Fee,"Effective January 1, 2020, EV owners must pay an annual fee of $100 in addition to standard registration fees. A portion of the fees contribute to the Illinois Road Fund. (Reference <a href=""http://www.ilga.gov/"">Senate Bill</a> 1939, 2019, and 625 <a href=""http://www.ilga.gov/legislation/ilcs/ilcs.asp"">Illinois Compiled Statutes</a> 5/3-805)",Laws and Regulations
CA,Zero-Emission Airport Shuttle Requirement,"By 2035, all airport fixed-route shuttle fleets must transition to 100% zero-emission vehicles (ZEVs). Zero-emission shuttle technologies include all-electric or fuel cell electric technologies. Starting in 2022, shuttle fleets must report the details of their vehicles to the California Air Resources Board (ARB). Starting in 2023, if fleets replace a ZEV shuttle, the replacement must be a ZEV. For additional terms and conditions, see ARB’s <a href=""https://ww2.arb.ca.gov/our-work/programs/zero-emission-airport-shuttle"">Zero-Emission Airport Shuttle</a> website. (Reference <a href=""http://www.oal.ca.gov/"">Resolution Number</a> 19-8, 2019)",Laws and Regulations
LA,Electric Equipment and Electric Vehicle Supply Equipment (EVSE) Incentive - Entergy,"Qualified Entergy customers are eligible to receive incentives in varying amounts for the purchase of select on- and off-road electric vehicles and Level 2 EVSE. For more information, including eligible technologies, see the Entergy <a href=""https://entergyetech.com/"">eTech</a> website.",Utility/Private Incentives
MS,Electric Equipment and Electric Vehicle Supply Equipment (EVSE) Incentive - Entergy,"Qualified Entergy customers are eligible to receive incentives in varying amounts for the purchase of select on- and off-road electric vehicles and Level 2 EVSE. For more information, including eligible technologies, see the Entergy <a href=""https://entergyetech.com/"">eTech</a> website.",Utility/Private Incentives
TX,Electric Equipment and Electric Vehicle Supply Equipment (EVSE) Incentive - Entergy,"Qualified Entergy customers are eligible to receive incentives in varying amounts for the purchase of select on- and off-road electric vehicles and Level 2 EVSE. For more information, including eligible technologies, see the Entergy <a href=""https://entergyetech.com/"">eTech</a> website.",Utility/Private Incentives
WI,Plug-In Electric Vehicle (PEV) Charging Rate Incentive - Madison Gas and Electric (MGE),"MGE offers a time-of-use (TOU) electricity rate for customers with a PEV. For more information, see the MGE <a href=""https://www.mge.com/our-environment/electric-vehicles/shift-save"">Shift & Save</a> website.",Utility/Private Incentives
MN,Plug-In Electric Vehicle (PEV) Charging Rate Reduction and EVSE Rebate - Otter Tail Power,"Otter Tail Power Company customers that have installed Level 2 electric vehicle supply equipment (EVSE) may receive a reduced rate for the electricity used to charge PEVs between specified off-peak hours.</p><p>Otter Tail Power Company also offers a $400 rebate for the installation of a Level 2 EVSE.</p><p>For more information, see the Otter Tail Power Company <a href=""https://www.otpco.com/ways-to-save/electric-vehicles/""> Electric Vehicles</a> website.",Utility/Private Incentives
KS,Plug-In Electric Vehicle and Hybrid Electric Vehicle (HEV) Fees,"Beginning January 1, 2020, the annual registration fee for all-electric vehicle owners is $100 and the plug-in hybrid electric vehicle and HEV annual fee is $50. (Reference <a href=""http://www.kslegislature.org/li/"">House Bill</a> 2214, 2019)",Laws and Regulations
MI,Electric Vehicle Supply Equipment (EVSE) Rebate - Consumers Energy,"The Consumers Energy PowerMIDrive program offers rebates to residential and commercial customers who install Level 2 or direct current fast charging (DCFC) EVSE. Residential customers are eligible for a $400 rebate to install a qualified Level 2 EVSE. Commercial customers installing qualified, publicly accessible EVSE are eligible for rebates up to $5,000 per Level 2 and up to $70,000 per DCFC EVSE installed. Rebates are available on a first-come, first-served basis. For more information, see the <a href=""https://www.consumersenergy.com/residential/programs-and-services/electric-vehicles/powermidrive?utm_campaign=powermidrive&utm_source=powermidrive&utm_medium=vanity-url&utm_content=powermidrive"">PowerMIDrive</a> website.",Utility/Private Incentives
ME,Plug-In Electric Vehicle (PEV) Rebates,"Efficiency Maine’s Electric Vehicle Accelerator provides rebates to Maine residents, businesses, government entities, and tribal governments for the purchase or lease of a qualified PEV or plug-in hybrid electric vehicle (PHEV) at participating Maine dealerships. Rebate amounts are based on participant type for vehicles purchased or leased between August 29, 2019 to December 21, 2021: </p><div align=""center""><table class=""table table-bordered""><tr><th>Type of Vehicle</th><th> Individuals, Businesses, Organizations</th><th> Qualified Low-Income Maine Resident</th><th> Maine Governmental Entity or Tribal Government</th></tr><tr><td> PEV</td><td align=""center"">$2,000</td><td align=""center"">$3,000</td><td align=""center"">$7,500</td></tr><tr><td> PHEV</td><td align=""center"">$1,000</td><td align=""center"">$1,500</td><td align=""center"">$2,000</td></tr></table></div></p><p>The program is funded by Maine’s portion of the <a href=""https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement"">Volkswagen Environmental Mitigation Trust</a>. For more information, including eligible vehicles and preapproval requirements, see Efficiency Maine’s  <a href=""https://www.efficiencymaine.com/ev/"">Electric Vehicle Initiatives</a> website.<p></p>(Reference <a href=""http://www.mainelegislature.org/legis/statutes/"">Maine Revised Statutes</a> Title 35-A, Section 10126)",State Incentives
NV,Plug-in Electric Vehicle (PEV) Parking Space Regulation,"Beginning October 1, 2019, an individual may not park a motor vehicle within any parking space specifically designated for charging PEVs. Eligible PEVs must be in the process of charging to park in the space. A person found responsible for a violation is subject to fines. (Reference <a href=""https://www.leg.state.nv.us/"">Senate Bill</a> 428, 2019)",Laws and Regulations
CT,Plug-In Electric Vehicle (PEV) Parking Requirement ,"An individual may not park a motor vehicle in a parking space equipped with a public charging station unless that vehicle is a PEV. An infraction applies for non-PEVs that park in spaces with public charging stations. (Reference <a href=""http://www.cga.ct.gov/"">Connecticut General Statutes</a> 16-19ggg)",Laws and Regulations
CT,Plug-In Electric Vehicle (PEV) and EV Supply Equipment (EVSE) Rebates - Norwich Public Utilities,"Norwich Public Utilities (NPU) offers eligible customers rebates for the purchase or lease of a new or used PEV and the purchase and installation of qualified EVSE. Rebates are offered in the following amounts:</p><p><center><table class=""table table-bordered""><tr><tr><th>Vehicle Type</th><th>Rebate Amount</th></tr><td>New Plug-In Hybrid Electric Vehicle (PHEV)</td><td>$500</td></tr><tr><td>New All Electric Vehicle (EV)</td><td>$1,000</td></tr><tr><td>Used PHEV, Model Year (MY) 2017 or newer</td><td>$250</td></tr><tr><td>Used EV, MY 2017 or newer</td><td>$500</td></tr></table></center></p><p> </p><p><center><table class=""table table-bordered""><tr><tr><th>EVSE Type</th><th>Rebate Amount</th></tr><td>Residential Level 2 </td><td>$500</td></tr><tr><td>Commercial, workplace or multifamily Level 2</td><td>$1,500</td></tr><tr><td>Commercial, Public Level 2</td><td>$2,000</td></tr></table></center></p><p>For more information, including eligibility requirements and how to apply, see the NPU <a href=""https://norwichpublicutilities.com/residential/electric-vehicle-charging-rebate-program/"">Electric Vehicle and Charging Rebate Program</a> website.",Utility/Private Incentives
IA,Residential Electric Vehicle (EV) Incentive – MidAmerican Energy,"MidAmerican Energy offers residential customers a $500 rebate for the purchase of a new EV. Eligible vehicles must be purchased or leased after January 1, 2020. For more information, including eligibility and funding availability, see the  <a href=""https://www.midamericanenergy.com/home"">MidAmerican Energy</a> website. ",Utility/Private Incentives
OR,Electric Vehicle Supply Equipment (EVSE) Installation Rebate - Central Lincoln,"Central Lincoln offers residential and commercial customers a one-time rebate of $250 to purchase a Level 2 EVSE.  Eligible EVSE must be purchased on or after July 1, 2018. For more information, including the application, please visit the <a href=""https://clpud.org/energy-efficiency/electric-cars/level-2-station-rebate/"">Central Lincoln</a> website.",Utility/Private Incentives
OR,Plug-In Electric Vehicle (PEV) Registration Incentive - Emerald People’s Utility District (EPUD),"EPUD customers are eligible for a $100 incentive to register their new or used PEV with the Oregon Department of Motor Vehicles. New or used PEVs with at least 2 kilowatt-hours of on-board battery capacity qualify. For more information, including the application, visit the <a href=""https://www.epud.org/register-your-ev/"">EPUD</a> website. ",Utility/Private Incentives
OR,Electric Vehicle Supply Equipment (EVSE) Rebates - Eugene Water & Electric Board (EWEB),"EWEB offers rebates for residential and commercial customers to install Level 2 EVSE. Eligible residential customers may receive up to $500, and eligible commercial customers may receive up to $1,000. For more information, including application details, visit the EWEB <a href=""http://www.eweb.org/residential-customers/going-green/electric-vehicles/ev-incentives""> Electric Vehicle Incentives and Rebates</a>  website. ",Utility/Private Incentives
DE,Smart Grid Infrastructure Development,"All grid-integrated, plug-in electric vehicles in use by eligible customers must meet applicable safety and performance standards put forth by the National Electric Code, Institute of Electric and Electronic Engineers, UL, and the Society of Automotive Engineers to ensure that net metering customers comply with the electric supplier’s interconnection tariffs and operating guidelines. (Reference <a href=""https://delcode.delaware.gov/"">Delaware Code</a> Title 26, Chapter 10, Section 1014e)",Laws and Regulations
CA,All-Electric Vehicle (EV) Rebate - MCE,"The MCEv Program offers a $3,500 rebate for the purchase or lease of a new EV for income-qualifying customers. To be eligible for the rebate, an applicant must live in MCE’s service area, be a MCE customer, and meet at least one of the qualifying income requirements. For more information, including how to apply, see the MCE <a href=""https://www.mcecleanenergy.org/ev-drivers/"">EV Rebates</a> website.",Utility/Private Incentives
CA,Used Plug-in Electric Vehicle (PEV) Rebate Program - LADWP,"The Los Angeles Department of Water and Power (LADWP) offers rebates up to $1,500 to residential electric customers for the purchase of eligible used PEVs. Additional terms and conditions apply. For program guidelines and application materials, see the <a href=""https://www.ladwp.com/ladwp/faces/ladwp/residential/r-gogreen/r-gg-driveelectric?_adf.ctrl-state=1d4357epvd_4&_afrLoop=472125629767806"">Charge Up L.A.!</a> website.",Utility/Private Incentives
CA,Plug-in Electric Vehicle (PEV) Charging Rate Reduction - Bear Valley Electric Service (BVES),"BVES offers three PEV time-of-use (TOU) rates to customers enrolled in the Transportation Electrification Pilot Program. The discounted TOU rate is for the super off-peak hours. For more information, including how to apply and eligibility, see the BVES <a href=""https://www.bves.com/customer-service/rates-&-regulations/general-rate-schedules"">Rate Structures</a> website.",Utility/Private Incentives
CA,Plug-In Electric Vehicle (PEV) and Hybrid Electric Vehicle (HEV) Grant - Bay Area,"The Bay Area Air Quality Management District’s (BAAQMD) Clean Cars for All program offers grants up to $9,500 to income-eligible residents to replace a vehicle eligible for retirement with a PEV or HEV. Eligible vehicles for replacement should have a model year 15 years or older than the current year. Recipients may buy or lease a new or used PEV or HEV. Grants vary depending on the household income and vehicle technology. Vehicles that are replaced must be turned in at an authorized dismantler.<p></p>Individuals that purchase an all-electric vehicle are eligible to receive up to $2,000 for the purchase and installation of a Level 2 electric vehicle supply equipment.<p></p>For more information, including additional eligibility requirements and how to apply, see the BAAQMD <a href=""http://www.baaqmd.gov/funding-and-incentives/residents/clean-cars-for-all"">Clean Cars for All</a> website.",State Incentives
MN,Electric Vehicle (EV) Toll Credit Pilot Program  ,"The Minnesota Department of Transportation is piloting a three-year program to give a one-time MnPass account credit to eligible EV drivers for use in MnPass toll lanes. Drivers who purchase or lease a new or used plug-in hybrid electric vehicle (PHEV) receive a $125 credit or a $250 credit for a plug-in electric vehicle (PEV). Vehicles must be purchased or leased between November 1, 2019 and October 31, 2022 to be eligible for the credit. <p>For more information, visit the <a href=""https://www.dot.state.mn.us/mnpass/mnpassnews.html"">MnPass</a> website.</p>


",State Incentives
WI,Electric Vehicle Supply Equipment (EVSE) Leasing Program – Madison Gas and Electric (MGE),"MGE residential customers can pay $20 per month for the installation and maintenance of a Level 2 EVSE. Participants must sign a five-year service agreement. For more information, see MGE’s <a href=""https://www.mge.com/our-environment/electric-vehicles/charge@home-program"">Charge@Home</a> website.",Utility/Private Incentives
WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Barron Electric Cooperative (BEC),"BEC offers residential customers rebates for the full cost of a Level 2 EVSE. For more information, see the BEC <a href=""https://www.barronelectric.com/rebates"">Residential Programs</a> website.",Utility/Private Incentives
WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Chippewa Valley Electric Cooperative (CVEC),"CVEC offers customers a $200 rebate to purchase and install a new EVSE. All rebate documentation must be submitted within three months of the EVSE purchase. The rebate is available until December 31, 2019 and is available on a first-come, first-served basis. For more information, including eligibility requirements and how to apply, see the CVEC <a href=""https://www.cvecoop.com/rebates.php"">Rebates</a> website.",Utility/Private Incentives
WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Clark Electric Cooperative (CEC),"CEC offers customers a $400 rebate to purchase and install a new EVSE. Required documentation must be submitted to CEC within three months of the EVSE purchase date. The EVSE rebate is available until December 31, 2019 and is available on a first-come, first-served basis. For more information, see the CEC <a href=""https://www.cecoop.com/content/rebatesincentives"">Rebates and Incentives</a> website.",Utility/Private Incentives
WI,Electric Vehicle Supply Equipment (EVSE) Rebate – East Central Energy (ECE),"ECE offers residential customers a $500 rebate to purchase and install a Level 2 EVSE or a limited time $800 rebate for qualifying EVSEs purchased through their online store (verified November 2019). For more information, see the ECE <a href=""https://www.eastcentralenergy.com/content/residential-rebates"">Residential Rebates</a> website.",Utility/Private Incentives
WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Price Electric Cooperative,"Price Electric Cooperative offers residential customers a $200 rebate to customers who purchase and install an EVSE. The EVSE rebate is available until December 31, 2019 and is available on a first-come, first-served basis. For more information, see the Price Electric Cooperative <a href=""https://www.price-electric.com/content/rebates"">Rebates</a> website.",Utility/Private Incentives
WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Riverland Energy Cooperative (REC),"REC offers residential customers a $200 rebate to purchase and install an EVSE. The EVSE rebate is available until December 31, 2019 and is available on a first-come, first-served basis. For more information, see the REC <a href=""https://www.riverlandenergy.com/rebates"">Rebates</a> website.",Utility/Private Incentives
WI,Electric Vehicle Supply Equipment (EVSE) Rebate – Pierce Pepin Cooperative Services (PPCS),"PPCS offers residential customers a $400 rebate to purchase and install an EVSE. The EVSE rebate is available until December 31, 2020 and is available on a first-come, first-served basis. For more information, see the PPCS <a href=""https://www.piercepepin.coop/programs-rebates"">Programs & Rebates</a> website.",Utility/Private Incentives
NM,Electric Vehicle Supply Equipment (EVSE) Funding ,"The New Mexico Environment Department (NMED) provides funding for eligible mitigation projects for nitrogen oxides (NOx) emissions. NMED will fund up to $20,000 per eligible dual-port Level 2 EVSE installation, and up to 75% of the cost of a direct current (DC) fast charger installation. Additional requirements may apply.</p><p>The program is funded by New Mexico’s portion of the <a href=""https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement"">Volkswagen Environmental Mitigation Trust</a>. Funding is not currently available (verified March 2020). For more information, visit the New Mexico <a href=""https://www.env.nm.gov/air-quality/vw-settlement/"">Volkswagen Settlement</a> website. 
",State Incentives
OK,Electric Vehicle Supply Equipment (EVSE) Rebate – Public Service Company of Oklahoma (PSO),"PSO residential customers are eligible for rebates up to $250 for an <a href=""https://www.energystar.gov/products"">ENERGY STAR</a> certified Level 2 EVSE. EVSE must be new and purchased in Oklahoma. For more information, including the application, see the PSO <a href=""https://pso.clearesult.com/electric-vehicle-charger/energy-star-electric-vehicle-level-2-charger.html"">Electric Vehicle Charger</a> website. ",Utility/Private Incentives
TN,Electric Vehicle Supply Equipment (EVSE) Rebate – Knoxville Utility Board (KUB),"KUB offers residential customers rebate up to $400 for the purchase and installation of a Level 2 EVSE. For more information, including the application, please visit the <a href=""https://www.kub.org/about/environment/ev-charger-rebate-program"">KUB Electric Vehicle</a> website. ",Utility/Private Incentives
AZ,Electric Vehicle (EV) Definition and Implementation Plan,"The Arizona Corporation Commission (Commission) defines EVs as transportation vehicles that use electricity for propulsion. The Commission issued an  EV policy statement that provides guidelines on EVs, charging infrastructure, and transportation electrification to utilities the Commission regulates. The policy addresses the state of EVs in Arizona, EV benefits, and barriers to adoption. For more information, see the Commission’s <a href=""https://docket.images.azcc.gov/0000195197.pdf"">EV policy statement</a> and the <a href=""https://www.azcc.gov/"">Corporation Commission</a> website.
(Reference <a href=""https://edocket.azcc.gov/Search/DocketDetailSearch?docketId=21658"">Docket</a> RU-00000A-18-0284 decision number 77044)
",Laws and Regulations
AZ,Electric Vehicle Supply Equipment (EVSE) Rebate - Tucson Electric Power (TEP),"TEP provides a rebate to residential customers that covers up to 75% of the cost of EVSE installation. The maximum rebate awards are $500 for a two-way charger and $250 for a one-way charger. For more information, including how to apply, see the TEP <a href=""https://www.tep.com/electric-vehicles/"">Electric Vehicles</a> website.",Utility/Private Incentives
AZ,Plug-In Electric Vehicle (PEV) Charging Rate - Tuscon Electric Power (TEP),"TEP offers a time-of-use (TOU) rate for residential customers with PEVs. The TOU rate guarantees participating customers a 5% rate reduction during off-peak periods. For more information, see the TEP <a href=""https://www.tep.com/electric-vehicles/"">Electric Vehicles</a> website.",Utility/Private Incentives
NY,Electric Vehicle Supply Equipment (EVSE) Rebate - PSEG Long Island,"Public Service Enterprise Group (PSEG) Long Island offers a $500 rebate to residential customers who install a smart, Level 2 charger between January 1, 2020, and December 31, 2020. Funds are awarded on a first-come, first-served basis, and are limited to one rebate per year, per residential account. Rebate applications must be postmarked by December 31, 2020, to be eligible. For more information, including how to apply, see the PSEG Long Island <a href=""https://www.psegliny.com/saveenergyandmoney/solarrenewableenergy/ev/smartcharge"">Smart Charger Rebate</a> website.",Utility/Private Incentives
